author1,author2,author3,author4,author5,author6,title,journal,volume,month,year,cite,publisher,isbn,url,pages,crossref,booktitle,ee,school,number,editor1,editor2,editor3,series,href
E. F. Codd,C. J. Date,,,,,Interactive Support for Non-Programmers: The Relational and Network Approaches.,IBM Research Report, San Jose, California,RJ1400,June,1974,persons/Lions1996,,,,,,,,,,,,,,
John Lions,,,,,,Lions' Commentary on UNIX 6th Edition, with Source Code,,,,1996,,Peer-to-Peer Communications,1-57398-013-7,http://www.lemis.com/grog/Documentation/Lions/index.html,,,,,,,,,,,
Stefano Ceri,Letizia Tanca,,,,,Bridging Objects with Logical Rules: Towards Object Oriented Deductive Databases.,,,,1993,,,,db/journals/lncs/lncs701.html#CeriT93,7-19,books/sp/Atzeni93,LOGIDATA+: Deductive Databases with Complex Objects,http://dx.doi.org/10.1007/BFb0021886,,,,,,,
Michael J. Carey,,,,,,Modeling and Evaluation of Database Concurrency Control Algorithms,,,,1983,,,,,,,,,College of Engineering, University of California, Berkeley,,,,,,
Michael Ley,,,,,,ACM SIGMOD Contribution Award 2003 Acceptance Speech,,,,2003,,,,http://www.informatik.uni-trier.de/~ley/db/about/contributionaward03.html,,,,,,,,,,,
Tamalika Chaira,,,,,,Intuitionistic Fuzzy Segmentation of Medical Images.,IEEE Trans. Biomed. Engineering,57,,2010,,,,db/journals/tbe/tbe57.html#Chaira10,1430-1436,,,http://dx.doi.org/10.1109/TBME.2010.2041000,,6,,,,,
Bartosz Sawicki,Michal Okoniewski,,,,,Adaptive Mesh Refinement Techniques for 3-D Skin Electrode Modeling.,IEEE Trans. Biomed. Engineering,57,,2010,,,,db/journals/tbe/tbe57.html#SawickiO10,528-533,,,http://dx.doi.org/10.1109/TBME.2009.2032163,,3,,,,,
Azadeh Yadollahi,Zahra Moussavi,,,,,The Effect of Anthropometric Variations on Acoustical Flow Estimation: Proposing a Novel Approach for Flow Estimation Without the Need for Individual Calibration.,IEEE Trans. Biomed. Engineering,58,,2011,,,,db/journals/tbe/tbe58.html#YadollahiM11,1663-1670,,,http://dx.doi.org/10.1109/TBME.2011.2109717,,6,,,,,
Yevgeny Perelman,Ran Ginosar,,,,,An Integrated System for Multichannel Neuronal Recording With Spike/LFP Separation, Integrated A/D Conversion and Threshold Detection.,IEEE Trans. Biomed. Engineering,54,,2007,,,,db/journals/tbe/tbe54.html#PerelmanG07,130-137,,,http://dx.doi.org/10.1109/TBME.2006.883732,,1,,,,,
Javier Saiz,Julio Gomis-Tena,Marta Monserrat,Jose Maria Ferrero,Karen Cardona,Javier Chorro,Effects of the Antiarrhythmic Drug Dofetilide on Transmural Dispersion of Repolarization in Ventriculum. A Computer Modeling Study.,IEEE Trans. Biomed. Engineering,58,,2011,,,,db/journals/tbe/tbe58.html#SaizGMFCC11,43-53,,,http://dx.doi.org/10.1109/TBME.2010.2077292,,1,,,,,
Mingyuan Gao,Chengzhi Hu,Zhenzhi Chen,Honghai Zhang,Sheng Liu,,Design and Fabrication of a Magnetic Propulsion System for Self-Propelled Capsule Endoscope.,IEEE Trans. Biomed. Engineering,57,,2010,,,,db/journals/tbe/tbe57.html#GaoHCZL10,2891-2902,,,http://dx.doi.org/10.1109/TBME.2010.2051947,,12,,,,,
Otto Muzik,Siamak Pourabdollah,ász,Diane C. Chugani,James Janisse,Sorin Draghici,Application of an objective method for localizing bilateral cortical FDG PET abnormalities to guide the resection of epileptic foci.,IEEE Trans. Biomed. Engineering,52,,2005,,,,db/journals/tbe/tbe52.html#MuzikPJCJD05,1574-1581,,,http://dx.doi.org/10.1109/TBME.2005.854233,,9,,,,,
é,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
M. Jurczyk,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Erika Pearson,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Andrew D. Rudge,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
A. Braathen,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
W. Rowland Taylor,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Andrew M. Connor,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Gary Goldman,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Roger E. Franklin Jr.,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Makio Tamura,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Jaber A. Abu-Qahouq,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Hitha Amin,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Zhengke Miao,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
P. Schoonjans,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Igor Nikolic,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Carleen Garnto,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Adam Trybus,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
D. Stieger,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Hsiu-Ming Huang,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Allison McMahon,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
A. Lopes,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Xingsheng Deng,,,,,,Home Page,,,,,,,,,,,,,,,,,,,
Pedro Rodrigues,Manuel Ferreira,ão Monteiro,,,,Segmentation and Classification of Leukocytes. Using Neural Networks: A Generalization Direction.,,,,2008,,,,db/series/sci/sci83.html#RodriguesFM08,373-396,series/sci/2008-83,Speech, Audio, Image and Biomedical Signal Processing using Neural Networks,http://dx.doi.org/10.1007/978-3-540-75398-8_17,,,,,,,
Akiyoshi Wakatani,,,,,,Multi-step Parallel PNN Algorithm for Distributed-Memory Systems.,,,,2008,,,,db/series/sci/sci131.html#Wakatani08,41-50,series/sci/2008-131,Computer and Information Science,http://dx.doi.org/10.1007/978-3-540-79187-4_4,,,,,,,
Aradhya V. N. Manjunath,G. Hemantha Kumar,S. Noushath,,,,Fisher Linear Discriminant Analysis and Connectionist Model for Efficient Image Recognition.,,,,2008,,,,db/series/sci/sci83.html#ManjunathKN08,269-282,series/sci/2008-83,Speech, Audio, Image and Biomedical Signal Processing using Neural Networks,http://dx.doi.org/10.1007/978-3-540-75398-8_12,,,,,,,
,,,,,,Applied Graph Theory in Computer Vision and Pattern Recognition,,52,,2007,,Springer,978-3-540-68019-2,db/series/sci/sci52.html,,,,,,,Abraham Kandel,Horst Bunke,Mark Last,Studies in Computational Intelligence,db/series/sci/index.html